Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude,Location
15637740,01/02/2010 04:25:34 PM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11420,117-72 123 STREET,123 STREET,ROCKAWAY BOULEVARD,SUTTER AVENUE,,,ADDRESS,SOUTH OZONE PARK,,N/A,Assigned,02/01/2010 04:25:34 PM,,01/08/2010 12:00:00 AM,10 QUEENS,QUEENS,1035680,185324,40.67519892874634,-73.81458900922769,"(40.67519892874634, -73.81458900922769)"
15636836,01/02/2010 03:10:18 PM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Odor,3+ Family Mixed Use Building,11418,117-01 PARK LANE SOUTH,PARK LANE SOUTH,METROPOLITAN AVENUE,ABINGDON ROAD,,,ADDRESS,RICHMOND HILL,,N/A,Assigned,02/01/2010 03:10:18 PM,,01/08/2010 03:13:55 PM,82 QUEENS,QUEENS,1029422,197303,40.70811260705003,-73.83706942923195,"(40.70811260705003, -73.83706942923195)"
15636847,01/02/2010 02:23:01 PM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Mixed Use Building,11105,20-40 31 STREET,31 STREET,20 ROAD,21 AVENUE,,,ADDRESS,ASTORIA,,N/A,Assigned,02/01/2010 02:23:01 PM,,01/08/2010 03:13:55 PM,01 QUEENS,QUEENS,1009913,223064,40.77889816403281,-73.90733794291764,"(40.77889816403281, -73.90733794291764)"
15640865,01/03/2010 04:21:49 PM,01/15/2010 10:33:55 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11104,40-20 50 AVENUE,50 AVENUE,40 STREET,41 STREET,,,ADDRESS,SUNNYSIDE,,N/A,Closed,02/02/2010 04:21:49 PM,,01/15/2010 12:00:00 AM,02 QUEENS,QUEENS,1004999,208184,40.738069286045935,-73.92512696322414,"(40.738069286045935, -73.92512696322414)"
15641064,01/03/2010 04:00:51 PM,01/21/2010 09:56:24 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11105,20-40 31 STREET,31 STREET,20 ROAD,21 AVENUE,,,ADDRESS,ASTORIA,,N/A,Closed,02/02/2010 04:00:51 PM,,01/21/2010 12:00:00 AM,01 QUEENS,QUEENS,1009913,223064,40.77889816403281,-73.90733794291764,"(40.77889816403281, -73.90733794291764)"
15641692,01/03/2010 01:53:59 PM,01/06/2010 09:20:25 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11104,40-20 50 AVENUE,50 AVENUE,40 STREET,41 STREET,,,ADDRESS,SUNNYSIDE,,N/A,Closed,02/02/2010 01:53:59 PM,,01/06/2010 12:00:00 AM,02 QUEENS,QUEENS,1004999,208184,40.738069286045935,-73.92512696322414,"(40.738069286045935, -73.92512696322414)"
15648724,01/04/2010 10:32:49 AM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11238,479 PARK PLACE,PARK PLACE,GRAND AVENUE,CLASSON AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,02/03/2010 10:32:49 AM,,01/08/2010 03:13:54 PM,08 BROOKLYN,BROOKLYN,994827,185295,40.675262407379606,-73.96186870477167,"(40.675262407379606, -73.96186870477167)"
15658720,01/05/2010 10:46:42 AM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10305,101 LYNHURST AVENUE,LYNHURST AVENUE,ANDERSON STREET,LANGERE PLACE,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,02/04/2010 10:46:42 AM,,01/08/2010 03:13:55 PM,01 STATEN ISLAND,STATEN ISLAND,964468,164170,40.61726308199942,-74.07125441283439,"(40.61726308199942, -74.07125441283439)"
15670207,01/06/2010 02:17:56 PM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10472,1691 EAST 174 STREET,EAST 174 STREET,FTELEY AVENUE,CROES AVENUE,,,ADDRESS,BRONX,,N/A,Assigned,02/05/2010 02:17:56 PM,,01/08/2010 03:13:56 PM,09 BRONX,BRONX,1019600,243325,40.83447552234542,-73.87225419756115,"(40.83447552234542, -73.87225419756115)"
15671423,01/06/2010 04:07:31 PM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10003,242 EAST 14 STREET,EAST 14 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Assigned,02/05/2010 04:07:31 PM,,01/08/2010 12:00:00 AM,03 MANHATTAN,MANHATTAN,988081,206278,40.73286129572565,-73.9861768686895,"(40.73286129572565, -73.9861768686895)"
